completion_id,experiment_group,source_experiment_id,target_path,action,priority,expected_runtime_class,status,reason
saa_scenario_18,saa_stability,saa_scenario_18_optional,D:\File Station\Science\论文WIP\Remanufacturing\data\results\stage9\runs\saa_scenario_18\summary.json,collect-existing,manuscript-critical,quick,already_available,Collect existing Stage 4 SAA with 18 scenarios.
saa_scenario_27,saa_stability,saa_scenario_27_optional,D:\File Station\Science\论文WIP\Remanufacturing\data\results\stage9\runs\saa_scenario_27\summary.json,collect-existing,manuscript-critical,quick,already_available,Collect existing Stage 4 SAA with 27 scenarios.
sensitivity_cvar_lambda_0.0,sensitivity_analysis,sensitivity_cvar_lambda_0.0,D:\File Station\Science\论文WIP\Remanufacturing\data\results\stage9\runs\sensitivity_cvar_lambda_0.0\summary.json,collect-existing,manuscript-critical,quick,already_available,Collect existing sensitivity profile for cvar_lambda=0.0.
sensitivity_cvar_lambda_0.11,sensitivity_analysis,sensitivity_cvar_lambda_0.11,D:\File Station\Science\论文WIP\Remanufacturing\data\results\stage9\runs\sensitivity_cvar_lambda_0.11\summary.json,collect-existing,manuscript-critical,quick,already_available,Collect existing sensitivity profile for cvar_lambda=0.11.
sensitivity_cvar_lambda_0.22,sensitivity_analysis,sensitivity_cvar_lambda_0.22,D:\File Station\Science\论文WIP\Remanufacturing\data\results\stage9\runs\sensitivity_cvar_lambda_0.22\summary.json,collect-existing,manuscript-critical,quick,already_available,Collect existing sensitivity profile for cvar_lambda=0.22.
sensitivity_cvar_lambda_0.44,sensitivity_analysis,sensitivity_cvar_lambda_0.44,D:\File Station\Science\论文WIP\Remanufacturing\data\results\stage9\runs\sensitivity_cvar_lambda_0.44\summary.json,collect-existing,manuscript-critical,quick,already_available,Collect existing sensitivity profile for cvar_lambda=0.44.
sensitivity_min_system_reliability_0.9,sensitivity_analysis,sensitivity_min_system_reliability_0.9,D:\File Station\Science\论文WIP\Remanufacturing\data\results\stage9\runs\sensitivity_min_system_reliability_0.9\summary.json,collect-existing,manuscript-critical,quick,already_available,Collect existing sensitivity profile for min_system_reliability=0.9.
sensitivity_min_system_reliability_0.93,sensitivity_analysis,sensitivity_min_system_reliability_0.93,D:\File Station\Science\论文WIP\Remanufacturing\data\results\stage9\runs\sensitivity_min_system_reliability_0.93\summary.json,collect-existing,manuscript-critical,quick,already_available,Collect existing sensitivity profile for min_system_reliability=0.93.
sensitivity_min_system_reliability_0.95,sensitivity_analysis,sensitivity_min_system_reliability_0.95,D:\File Station\Science\论文WIP\Remanufacturing\data\results\stage9\runs\sensitivity_min_system_reliability_0.95\summary.json,collect-existing,manuscript-critical,quick,already_available,Collect existing sensitivity profile for min_system_reliability=0.95.
sensitivity_env_weight_60,sensitivity_analysis,sensitivity_env_weight_60,D:\File Station\Science\论文WIP\Remanufacturing\data\results\stage9\runs\sensitivity_env_weight_60\summary.json,collect-existing,manuscript-critical,quick,already_available,Collect existing sensitivity profile for env_weight=60.
sensitivity_env_weight_120,sensitivity_analysis,sensitivity_env_weight_120,D:\File Station\Science\论文WIP\Remanufacturing\data\results\stage9\runs\sensitivity_env_weight_120\summary.json,collect-existing,manuscript-critical,quick,already_available,Collect existing sensitivity profile for env_weight=120.
sensitivity_env_weight_240,sensitivity_analysis,sensitivity_env_weight_240,D:\File Station\Science\论文WIP\Remanufacturing\data\results\stage9\runs\sensitivity_env_weight_240\summary.json,collect-existing,manuscript-critical,quick,already_available,Collect existing sensitivity profile for env_weight=240.
sensitivity_assembly_shortfall_penalty_rmb_125000,sensitivity_analysis,sensitivity_assembly_shortfall_penalty_rmb_125000,D:\File Station\Science\论文WIP\Remanufacturing\data\results\stage9\runs\sensitivity_assembly_shortfall_penalty_rmb_125000\summary.json,collect-existing,manuscript-critical,quick,already_available,Collect existing sensitivity profile for assembly_shortfall_penalty_rmb=125000.
sensitivity_assembly_shortfall_penalty_rmb_250000,sensitivity_analysis,sensitivity_assembly_shortfall_penalty_rmb_250000,D:\File Station\Science\论文WIP\Remanufacturing\data\results\stage9\runs\sensitivity_assembly_shortfall_penalty_rmb_250000\summary.json,collect-existing,manuscript-critical,quick,already_available,Collect existing sensitivity profile for assembly_shortfall_penalty_rmb=250000.
sensitivity_assembly_shortfall_penalty_rmb_500000,sensitivity_analysis,sensitivity_assembly_shortfall_penalty_rmb_500000,D:\File Station\Science\论文WIP\Remanufacturing\data\results\stage9\runs\sensitivity_assembly_shortfall_penalty_rmb_500000\summary.json,collect-existing,manuscript-critical,quick,already_available,Collect existing sensitivity profile for assembly_shortfall_penalty_rmb=500000.
quick_stage8_matheuristic_validation,exact_vs_matheuristic,quick_stage8_matheuristic,D:\File Station\Science\论文WIP\Remanufacturing\data\results\stage12\runs\quick_stage8_matheuristic\approx_pareto_front.csv,run-stage8-quick,manuscript-critical,quick,planned,Quick repair run validates bounded completion without touching canonical Stage 8 outputs.
