period_id,period_index_stage3,demand_units
T0001,0,0
T0002,1,0
T0003,2,0
T0004,3,0
T0005,4,0
T0006,5,0
T0007,6,0
T0008,7,0
T0009,8,0
T0010,9,0
T0011,10,0
T0012,11,0
T0013,12,0
T0014,13,0
T0015,14,0
T0016,15,0
T0017,16,0
T0018,17,0
T0019,18,0
T0020,19,0
T0021,20,0
T0022,21,0
T0023,22,1
T0024,23,0
T0025,24,1
T0026,25,2
T0027,26,1
T0028,27,1
T0029,28,0
T0030,29,0
T0031,30,1
T0032,31,0
T0033,32,0
T0034,33,4
T0035,34,2
T0036,35,0
T0037,36,0
T0038,37,0
T0039,38,0
T0040,39,0
T0041,40,0
T0042,41,0
T0043,42,0
T0044,43,0
T0045,44,0
T0046,45,0
T0047,46,1
T0048,47,1
T0049,48,0
T0050,49,0
T0051,50,0
T0052,51,0
