scenario_id,scenario_name,macro_group,quality_process_scenario,environmental_scenario,reliability_scenario,scenario_probability,saa_probability,scenario_stress_index,scenario_stress_level,demand_multiplier,capacity_availability_multiplier,bottleneck_capacity_multiplier,procurement_price_multiplier,environmental_cost_multiplier,warranty_failure_multiplier,selection_mode,selection_reason
S001,baseline_normal_operation__nominal,baseline_normal_operation,nominal,nominal,nominal,0.1409090909,0.2597184985687799,0.29392086,low,1.000676,1.010636,1.0,1.017616,0.999973,1.0,macro_representative_9,highest-probability macro-group representative
S004,equipment_renewal_high_demand__nominal,equipment_renewal_high_demand,nominal,nominal,nominal,0.08,0.14745308306791716,0.33815045,medium,1.240725,0.967129,0.9,1.088028,1.137601,1.04,macro_representative_9,highest-probability macro-group representative
S009,supply_logistics_disruption__pessimistic,supply_logistics_disruption,pessimistic,high_load_rework,pessimistic,0.055,0.10137399460919304,0.71100853,high,0.889074,0.838291,0.792,1.202273,1.346911,1.674,macro_representative_9,highest-probability macro-group representative
S012,low_quality_core_return_shock__pessimistic,low_quality_core_return_shock,pessimistic,high_load_rework,pessimistic,0.0763636364,0.14075067026821778,0.73945923,high,1.030185,0.866157,0.828,1.049419,1.564832,2.139,macro_representative_9,highest-probability macro-group representative
S013,high_quality_return_favorable__nominal,high_quality_return_favorable,nominal,nominal,nominal,0.0490909091,0.09048257371752337,0.20638825,low,1.038602,1.029892,1.04,0.985348,0.774742,0.76,macro_representative_9,highest-probability macro-group representative
S018,bottleneck_rework_stress__pessimistic,bottleneck_rework_stress,pessimistic,high_load_rework,pessimistic,0.05,0.09215817691744822,0.69447443,high,1.091931,0.786289,0.675,1.04836,1.658299,1.829,macro_representative_9,highest-probability macro-group representative
S019,green_compliance_pressure__nominal,green_compliance_pressure,nominal,nominal,nominal,0.0343636364,0.06333780165756127,0.31774166,low,1.032185,0.983906,1.0,1.051912,1.357277,0.98,macro_representative_9,highest-probability macro-group representative
S022,weak_demand_cost_saving__nominal,weak_demand_cost_saving,nominal,nominal,nominal,0.0363636364,0.0670241287342592,0.25352783,low,0.768002,1.041616,1.08,0.944523,0.895913,0.92,macro_representative_9,highest-probability macro-group representative
S025,supplier_price_shock__nominal,supplier_price_shock,nominal,nominal,nominal,0.0204545455,0.037701072459099885,0.3816488,medium,0.977081,0.983504,0.97,1.272066,1.062967,1.06,macro_representative_9,highest-probability macro-group representative
